"File","Status","Out","Length"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК_1.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\01_Document_Control_ПСК_1.doc.txt","34704"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК-2.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\01_Document_Control_ПСК-2.doc.txt","10765"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\CОП-121.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\01_Document_Control_CОП-121.doc.txt","22646"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_10.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\02_Quality_Systems_ПСК_10.docx.txt","21444"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_5.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\02_Quality_Systems_ПСК_5.doc.txt","14734"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_6.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\02_Quality_Systems_ПСК_6.docx.txt","46366"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_8.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\02_Quality_Systems_ПСК_8.doc.txt","20415"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_205.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\03_Warehouse_СОП_205.doc.txt","8374"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_217.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\03_Warehouse_СОП_217.docx.txt","9120"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_223.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_text\03_Warehouse_СОП_223.docx.txt","14304"
