folder,filename,extension,size_bytes,full_path
01_Document_Control,CОП-121.doc,.doc,187904,D:\01_Pilot_Material_to_EBR\01_Document_Control\CОП-121.doc
01_Document_Control,ПСК-2.doc,.doc,151552,D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК-2.doc
01_Document_Control,ПСК_1.doc,.doc,498688,D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК_1.doc
02_Quality_Systems,ПСК_10.docx,.docx,1587974,D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_10.docx
02_Quality_Systems,ПСК_5.doc,.doc,200704,D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_5.doc
02_Quality_Systems,ПСК_6.docx,.docx,260192,D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_6.docx
02_Quality_Systems,ПСК_8.doc,.doc,439296,D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_8.doc
03_Warehouse,СОП-209.pdf,.pdf,6313807,D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП-209.pdf
03_Warehouse,СОП_205.doc,.doc,180736,D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_205.doc
03_Warehouse,СОП_217.docx,.docx,76764,D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_217.docx
03_Warehouse,СОП_223.docx,.docx,77259,D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_223.docx
03_Warehouse,СОП_231.doc,.doc,176128,D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_231.doc
04_Production,СОП-442.doc,.doc,289792,D:\01_Pilot_Material_to_EBR\04_Production\СОП-442.doc
04_Production,СОП_409.doc,.doc,197120,D:\01_Pilot_Material_to_EBR\04_Production\СОП_409.doc
04_Production,СОП_414.doc,.doc,1991680,D:\01_Pilot_Material_to_EBR\04_Production\СОП_414.doc
04_Production,СОП_415.doc,.doc,180736,D:\01_Pilot_Material_to_EBR\04_Production\СОП_415.doc
04_Production,СОП_436.doc,.doc,487936,D:\01_Pilot_Material_to_EBR\04_Production\СОП_436.doc
04_Production,СОП_461.doc,.doc,473600,D:\01_Pilot_Material_to_EBR\04_Production\СОП_461.doc
05_QC_QA,SOP_533.docx,.docx,126647,D:\01_Pilot_Material_to_EBR\05_QC_QA\SOP_533.docx
05_QC_QA,СОП_512.docx,.docx,67372,D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_512.docx
05_QC_QA,СОП_540.docx,.docx,117971,D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_540.docx
05_QC_QA,СОП_548.doc,.doc,296960,D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_548.doc
05_QC_QA,СОП_549.docx,.docx,567344,D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_549.docx
06_Equipment_Environment,ДПСК_607_График_обслуживания_систем_вентиляции_и_кондиционирования.doc,.doc,136704,D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\ДПСК_607_График_обслуживания_систем_вентиляции_и_кондиционирования.doc
06_Equipment_Environment,ДПСК_619_Инструкция_по_эксплуатации_и_обслуживанию_Гранулятор_ред.docx,.docx,1206173,D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\ДПСК_619_Инструкция_по_эксплуатации_и_обслуживанию_Гранулятор_ред.docx
06_Equipment_Environment,СОП_618_Мониторинг_и_контроль_климатических_условий.doc,.doc,291840,D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\СОП_618_Мониторинг_и_контроль_климатических_условий.doc
07_Personnel,ДИ_707_Должностная_инструкция_Начальник_ДКК.doc,.doc,149504,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_707_Должностная_инструкция_Начальник_ДКК.doc
07_Personnel,ДИ_708 Должностная инструкция Начальник ДОК.doc,.doc,103936,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_708 Должностная инструкция Начальник ДОК.doc
07_Personnel,ДИ_716_Должностная_инструкция_Технолог.doc,.doc,101888,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_716_Должностная_инструкция_Технолог.doc
07_Personnel,ДИ_726_Должностная_инструкция_Начальник_цеха ред. 1.doc,.doc,116224,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_726_Должностная_инструкция_Начальник_цеха ред. 1.doc
07_Personnel,ДИ_727_Должностная_инструкция_Оператора.doc,.doc,104960,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_727_Должностная_инструкция_Оператора.doc
07_Personnel,ДИ_729_Должностная_инструкция_Зав_складом.doc,.doc,105472,D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_729_Должностная_инструкция_Зав_складом.doc
07_Personnel,ДПСК_742_Положение_об_аттестации_сотрудников.doc,.doc,179712,D:\01_Pilot_Material_to_EBR\07_Personnel\ДПСК_742_Положение_об_аттестации_сотрудников.doc
07_Personnel,П-7 Управление персоналом.docx,.docx,260344,D:\01_Pilot_Material_to_EBR\07_Personnel\П-7 Управление персоналом.docx
07_Personnel,П_7_Ф_2_План_внут_обучения_2026_готовый.docx,.docx,75207,D:\01_Pilot_Material_to_EBR\07_Personnel\П_7_Ф_2_План_внут_обучения_2026_готовый.docx
