process_no,process_name,row_no,document_name,document_code,active_revision,approval_date,expiry_date,source_file
1,Планирование и управление,1,Процесс планирование и управление,П-1,1,25.08.2022 г.,25.08.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,2,Контрольный перечень внутренней документации процесса №1,ДСК-101,3,10.02.2026 г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,3,Цели предприятия в области качества,ДСК-102,1,10.02.2025 г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,4,Политика в области качества,ДСК-103,2,23.01.2023г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,5,Контексты предприятия,ДСК-104,0,21.04.2022 г.,21.04.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,6,Орг. структура предприятия,ДСК-105,4,01.12.2025 г.,,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,7,Свободный,ДСК-106,0,,,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,8,Руководство по качеству,РК-108,2,07.12.2023 г.,07.12.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,9,Процедура управления документацией,ПСК-1,4,05.01.2024 г.,05.01.2027 г,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,10,Процедура управления записями,ПСК-2,2,17.02.2023 г.,17.02.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,11,Процедура проведения внутреннего аудита/самоинспекции,ПСК-3,2,01.04.2022 г.,01.04.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,12,Процедура управления несоответствующей продукцией,ПСК-4,0,05.08.2023 г.,05.08.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,13,Процедура проведения корректирующих и предупреждающих действий,ПСК-5,2,20.12.2023 г.,20.12.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,14,Процедура управления рисками,ПСК-6,3,01.05.2024 г.,01.05.2027 г..,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,15,Валидационный Мастер План (VMP),ПСК-7,1,24.02.2025 г.,24.02.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,16,Процедура управления и контроля изменений,ПСК-8,1,14.08.2023 г.,14.08.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,17,Процедура обращения с отходами ЛС,ПСК-9,1,26.02.2024 г.,26.02.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,18,Процедура управления отклонениями,ПСК-10,0,04.05.2023 г.,04.05.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,19,Оценка поставщиков,ПСК-11,0,11.09.2023 г.,11.09.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,20,"Правила встречи и поведения аудиторов, инспекторов и гостей предприятия",СОП-108,1,07.01.2021 г.,02.01.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,21,Отзыв продукции,СОП-109,2,01.02.2024 г.,01.02.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,22,Site Master File (Информация о предприятии),ДСК-110,2,03.12.2025 г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,23,Положение о Фармаконадзоре,СОП-111,0,11.08.2023 г.,11.08.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,24,Рекламация,СОП-112,0,14.05.2025 г.,14.05.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,25,"Порядок приёма, хранения и уничтожения архивных документов",СОП-113,1,18.02.2025 г.,18.02.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,26,Разработка стандартной операционной процедуры (СОП),СОП-114,1,18.02.2025 г.,18.02.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,27,Контрольный перечень законодательной документации,ДСК-115,0,06.08.2023 г.,06.08.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,28,Процедура по разработке Анализа со стороны руководства,СОП-116,0,06.05.2024 г.,06.05.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,29,Санитарно-гигиеническая программа,ДПСК-117,2,23.02.2025 г.,23.02.2026 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,30,Программа проведения аудитов/самоинспекций,(Прил. Ф-1 к ПСК-3),3,11.02.2026 г.,,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,31,Система нумерации активов,СОП-118,0,19.11.2025 г.,19.11.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,32,Перечень подписей сотрудников,СОП – 119,0,02.12.2025 г.,02.12.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,33,Приготовление SMF,СОП – 120,0,01.12.2025 г.,01.12.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
1,Планирование и управление,34,Правила ведения записей,СОП – 121,0,06.02.2026 г.,06.02.2029 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_102_Ред_2_Контрольный_перечень_18.docx
2,Маркетинг и сбыт готовой продукции,1,Процесс маркетинга и сбыта готовой продукции,П-2,1,25.08.2022 г,25.08.2028 г,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,2,Контрольный перечень внутренней документации,ДПСК-201,3,11.02.2025 г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,3,Перечень записей,ДПСК-202,1,20.02.2025 г.,20.02.2028 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,4,Анкета оценки удовлетворенности потребителя,ДПСК -203,0,25.08.2022,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,5,"Инструкция о порядке приёма, транспортировки и передачи товарно-материальных ценностей водителями",ДПСК-204,2,13.08.2024 г,13.08.2026 г,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,6,Порядок приема готовой и возвратной продукции на склад ГП,СОП-205,4,02.12.2024 г.,02.12.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,7,Порядок хранения и выдачи остатков упаковочных материалов и печатной продукции,СОП-206,5,02.12.2024 г.,02.12.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,8,"Перечень складов сырья, субстанций и вспомогательных веществ, упаковочных материалов и печатной продукции",ДПСК-207,1,22.09.2023 г.,-,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,9,Подготовка складских и вспомогательных помещений,СОП-208,2,03.05.2024 г.,03.05.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
2,Маркетинг и сбыт готовой продукции,10,"Процедура по обеспечению сохранности ЛС при транспортировке, погрузке–разгрузке и складировании на хранение",СОП-209,10,06.02.2024 г.,03.05.2027 г.,C:\Users\User\Downloads\Telegram Desktop\ДПСК_201_Контрольный_перечень_документации_ред_2_.docx
